city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,5
sj,2008,20,6
sj,2008,21,10
sj,2008,22,9
sj,2008,23,13
sj,2008,24,12
sj,2008,25,18
sj,2008,26,30
sj,2008,27,23
sj,2008,28,18
sj,2008,29,24
sj,2008,30,37
sj,2008,31,38
sj,2008,32,68
sj,2008,33,71
sj,2008,34,56
sj,2008,35,61
sj,2008,36,74
sj,2008,37,81
sj,2008,38,77
sj,2008,39,30
sj,2008,40,23
sj,2008,41,65
sj,2008,42,27
sj,2008,43,20
sj,2008,44,29
sj,2008,45,36
sj,2008,46,28
sj,2008,47,23
sj,2008,48,25
sj,2008,49,20
sj,2008,50,16
sj,2008,51,15
sj,2008,52,13
sj,2009,1,13
sj,2009,2,15
sj,2009,3,15
sj,2009,4,14
sj,2009,5,15
sj,2009,6,13
sj,2009,7,15
sj,2009,8,12
sj,2009,9,11
sj,2009,10,6
sj,2009,11,7
sj,2009,12,5
sj,2009,13,4
sj,2009,14,4
sj,2009,15,3
sj,2009,16,5
sj,2009,17,6
sj,2009,18,6
sj,2009,19,7
sj,2009,20,4
sj,2009,21,4
sj,2009,22,10
sj,2009,23,8
sj,2009,24,11
sj,2009,25,16
sj,2009,26,16
sj,2009,27,33
sj,2009,28,40
sj,2009,29,42
sj,2009,30,45
sj,2009,31,51
sj,2009,32,55
sj,2009,33,59
sj,2009,34,55
sj,2009,35,63
sj,2009,36,60
sj,2009,37,58
sj,2009,38,73
sj,2009,39,68
sj,2009,40,73
sj,2009,41,66
sj,2009,42,67
sj,2009,43,69
sj,2009,44,46
sj,2009,45,34
sj,2009,46,28
sj,2009,47,29
sj,2009,48,23
sj,2009,49,24
sj,2009,50,16
sj,2009,51,17
sj,2009,52,18
sj,2010,53,18
sj,2010,1,15
sj,2010,2,15
sj,2010,3,13
sj,2010,4,18
sj,2010,5,12
sj,2010,6,15
sj,2010,7,14
sj,2010,8,13
sj,2010,9,14
sj,2010,10,13
sj,2010,11,9
sj,2010,12,11
sj,2010,13,8
sj,2010,14,7
sj,2010,15,8
sj,2010,16,5
sj,2010,17,10
sj,2010,18,15
sj,2010,19,7
sj,2010,20,12
sj,2010,21,18
sj,2010,22,29
sj,2010,23,36
sj,2010,24,47
sj,2010,25,22
sj,2010,26,24
sj,2010,27,41
sj,2010,28,47
sj,2010,29,31
sj,2010,30,26
sj,2010,31,52
sj,2010,32,78
sj,2010,33,68
sj,2010,34,70
sj,2010,35,82
sj,2010,36,80
sj,2010,37,80
sj,2010,38,71
sj,2010,39,98
sj,2010,40,84
sj,2010,41,96
sj,2010,42,81
sj,2010,43,63
sj,2010,44,28
sj,2010,45,27
sj,2010,46,24
sj,2010,47,24
sj,2010,48,15
sj,2010,49,17
sj,2010,50,17
sj,2010,51,15
sj,2011,52,14
sj,2011,1,15
sj,2011,2,12
sj,2011,3,15
sj,2011,4,14
sj,2011,5,14
sj,2011,6,13
sj,2011,7,16
sj,2011,8,14
sj,2011,9,11
sj,2011,10,7
sj,2011,11,8
sj,2011,12,5
sj,2011,13,5
sj,2011,14,7
sj,2011,15,7
sj,2011,16,4
sj,2011,17,8
sj,2011,18,6
sj,2011,19,5
sj,2011,20,4
sj,2011,21,10
sj,2011,22,13
sj,2011,23,11
sj,2011,24,19
sj,2011,25,54
sj,2011,26,47
sj,2011,27,23
sj,2011,28,19
sj,2011,29,27
sj,2011,30,46
sj,2011,31,32
sj,2011,32,49
sj,2011,33,60
sj,2011,34,65
sj,2011,35,66
sj,2011,36,69
sj,2011,37,72
sj,2011,38,34
sj,2011,39,33
sj,2011,40,77
sj,2011,41,87
sj,2011,42,30
sj,2011,43,23
sj,2011,44,36
sj,2011,45,26
sj,2011,46,26
sj,2011,47,20
sj,2011,48,25
sj,2011,49,16
sj,2011,50,14
sj,2011,51,18
sj,2012,52,17
sj,2012,1,15
sj,2012,2,15
sj,2012,3,15
sj,2012,4,14
sj,2012,5,14
sj,2012,6,14
sj,2012,7,13
sj,2012,8,16
sj,2012,9,12
sj,2012,10,8
sj,2012,11,8
sj,2012,12,5
sj,2012,13,5
sj,2012,14,4
sj,2012,15,6
sj,2012,16,6
sj,2012,17,4
sj,2012,18,9
sj,2012,19,5
sj,2012,20,12
sj,2012,21,10
sj,2012,22,11
sj,2012,23,17
sj,2012,24,24
sj,2012,25,35
sj,2012,26,39
sj,2012,27,33
sj,2012,28,22
sj,2012,29,30
sj,2012,30,33
sj,2012,31,48
sj,2012,32,30
sj,2012,33,66
sj,2012,34,62
sj,2012,35,34
sj,2012,36,61
sj,2012,37,55
sj,2012,38,65
sj,2012,39,73
sj,2012,40,72
sj,2012,41,62
sj,2012,42,76
sj,2012,43,74
sj,2012,44,68
sj,2012,45,56
sj,2012,46,34
sj,2012,47,38
sj,2012,48,21
sj,2012,49,17
sj,2012,50,18
sj,2012,51,17
sj,2013,1,13
sj,2013,2,13
sj,2013,3,13
sj,2013,4,14
sj,2013,5,15
sj,2013,6,13
sj,2013,7,12
sj,2013,8,13
sj,2013,9,11
sj,2013,10,14
sj,2013,11,7
sj,2013,12,5
sj,2013,13,7
sj,2013,14,5
sj,2013,15,6
sj,2013,16,10
sj,2013,17,4
iq,2010,26,6
iq,2010,27,5
iq,2010,28,7
iq,2010,29,4
iq,2010,30,5
iq,2010,31,5
iq,2010,32,8
iq,2010,33,6
iq,2010,34,13
iq,2010,35,14
iq,2010,36,7
iq,2010,37,8
iq,2010,38,8
iq,2010,39,12
iq,2010,40,52
iq,2010,41,14
iq,2010,42,10
iq,2010,43,11
iq,2010,44,12
iq,2010,45,12
iq,2010,46,17
iq,2010,47,9
iq,2010,48,20
iq,2010,49,12
iq,2010,50,9
iq,2010,51,9
iq,2011,52,8
iq,2011,1,18
iq,2011,2,14
iq,2011,3,17
iq,2011,4,17
iq,2011,5,22
iq,2011,6,16
iq,2011,7,18
iq,2011,8,16
iq,2011,9,16
iq,2011,10,11
iq,2011,11,11
iq,2011,12,9
iq,2011,13,7
iq,2011,14,8
iq,2011,15,7
